Location,Shipping Type,Frequency of Purchases
Kentucky,Express,Fortnightly
Maine,Express,Fortnightly
Massachusetts,Free Shipping,Weekly
Rhode Island,Next Day Air,Weekly
Oregon,Free Shipping,Annually
Wyoming,Standard,Weekly
Montana,Free Shipping,Quarterly
Louisiana,Free Shipping,Weekly
West Virginia,Express,Annually
Missouri,2-Day Shipping,Quarterly
Arkansas,Store Pickup,Bi-Weekly
Hawaii,Store Pickup,Fortnightly
Delaware,Express,Fortnightly
New Hampshire,Express,Weekly
New York,Free Shipping,Weekly
Rhode Island,Store Pickup,Monthly
Alabama,Next Day Air,Bi-Weekly
Mississippi,2-Day Shipping,Quarterly
Montana,Free Shipping,Weekly
Rhode Island,Standard,Bi-Weekly
Louisiana,Express,Every 3 Months
North Carolina,Store Pickup,Quarterly
California,Store Pickup,Annually
Oklahoma,Express,Weekly
Florida,Store Pickup,Weekly
Texas,Express,Annually
Nevada,Next Day Air,Annually
Kentucky,Next Day Air,Every 3 Months
North Carolina,Free Shipping,Every 3 Months
Wyoming,Store Pickup,Weekly
North Carolina,Standard,Monthly
West Virginia,Store Pickup,Monthly
Kansas,Free Shipping,Annually
Colorado,Store Pickup,Quarterly
North Dakota,2-Day Shipping,Quarterly
Massachusetts,2-Day Shipping,Bi-Weekly
Illinois,Free Shipping,Fortnightly
Indiana,Store Pickup,Weekly
Florida,2-Day Shipping,Every 3 Months
Arizona,Express,Monthly
Louisiana,Next Day Air,Quarterly
Alaska,Standard,Annually
Tennessee,Free Shipping,Annually
Ohio,Store Pickup,Fortnightly
Kentucky,Free Shipping,Weekly
Tennessee,2-Day Shipping,Annually
California,Store Pickup,Quarterly
Montana,Free Shipping,Weekly
Nevada,Store Pickup,Monthly
New Jersey,Next Day Air,Bi-Weekly
Maryland,Store Pickup,Bi-Weekly
Vermont,2-Day Shipping,Quarterly
Alaska,Free Shipping,Weekly
Mississippi,Next Day Air,Weekly
New Mexico,Next Day Air,Bi-Weekly
South Carolina,2-Day Shipping,Annually
Mississippi,Store Pickup,Weekly
West Virginia,Store Pickup,Fortnightly
Missouri,Free Shipping,Monthly
Louisiana,Standard,Weekly
Idaho,Express,Weekly
Texas,Store Pickup,Every 3 Months
Mississippi,Free Shipping,Fortnightly
Arizona,2-Day Shipping,Weekly
Alabama,Standard,Fortnightly
New Jersey,2-Day Shipping,Every 3 Months
Pennsylvania,2-Day Shipping,Every 3 Months
Connecticut,Store Pickup,Monthly
Utah,Next Day Air,Every 3 Months
Tennessee,Express,Weekly
Alabama,Express,Every 3 Months
Virginia,Express,Annually
